sourceId,displayName,domain,allsidesRating,adFontesBias,adFontesReliability,mbfcBias,mbfcFactual,finalBias,finalBiasScore,finalReliability,finalReliabilityScore,notes
reuters,Reuters,reuters.com,Center,0,Very High,Least Biased,Very High,Center,0,Very High,5,Gold standard wire service
associated-press,Associated Press,apnews.com,Left,-5,Very High,Left-Center,Very High,Center-Left,-1,Very High,5,Wire service
ap-news,AP News,apnews.com,Left,-5,Very High,Left-Center,Very High,Center-Left,-1,Very High,5,Wire service (alias)
afp,AFP,afp.com,Center,0,Very High,Least Biased,Very High,Center,0,Very High,5,French global wire service
bloomberg,Bloomberg,bloomberg.com,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Business/finance news
wsj,Wall Street Journal,wsj.com,Center,5,High,Right-Center,High,Center-Right,1,High,4,Opinion separate from news
ft,Financial Times,ft.com,Center,0,Very High,Left-Center,Very High,Center,0,Very High,5,UK business news
economist,The Economist,economist.com,Center,5,Very High,Least Biased,Very High,Center,0,Very High,5,UK liberal-center weekly
nytimes,New York Times,nytimes.com,Left,-12,High,Left-Center,High,Center-Left,-1,High,4,National record
washington-post,Washington Post,washingtonpost.com,Lean Left,-10,High,Left-Center,High,Center-Left,-1,High,4,National newspaper
npr,NPR,npr.org,Lean Left,-10,High,Left-Center,High,Center-Left,-1,High,4,Public radio
bbc,BBC News,bbc.com,Lean Left,-10,High,Least Biased,High,Center,0,High,4,UK public broadcaster
guardian,The Guardian,theguardian.com,Left,-15,High,Left-Center,High,Left,-2,High,4,UK progressive news
dw,DW,dw.com,Center,0,High,Least Biased,High,Center,0,High,4,German public broadcaster
france24,France 24,france24.com,Center,0,High,Least Biased,High,Center,0,High,4,French public broadcaster
aljazeera-english,Al Jazeera English,aljazeera.com,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Middle East news
axios,Axios,axios.com,Center,0,High,Least Biased,High,Center,0,High,4,Brief news format
politico,Politico,politico.com,Lean Left,-8,High,Left-Center,High,Center-Left,-1,High,4,Political news
the-hill,The Hill,thehill.com,Center,0,Mostly Factual,Least Biased,Mostly Factual,Center,0,Mostly Factual,3,Political news
axios,Axios,axios.com,Center,0,High,Least Biased,High,Center,0,High,4,Smart brevity
cnbc,CNBC,cnbc.com,Lean Left,-5,Mostly Factual,Left-Center,Mostly Factual,Center-Left,-1,High,4,Business news
fortune,Fortune,fortune.com,Center,5,High,Right-Center,High,Center-Right,1,High,4,Business magazine
forbes,Forbes,forbes.com,Center-Right,5,Mixed,Right-Center,Mostly Factual,Center-Right,1,Mixed,2,Business magazine
business-insider,Business Insider,businessinsider.com,Lean Left,-5,Mixed,Left-Center,Mixed,Center-Left,-1,Mixed,2,Business news
nikkei-asia,Nikkei Asia,asia.nikkei.com,Center,0,High,Least Biased,High,Center,0,High,4,Japanese business news
scmp,South China Morning Post,scmp.com,Center,0,Mixed,Least Biased,Mostly Factual,Center,0,Mostly Factual,3,Hong Kong news
straitstimes,The Straits Times,straitstimes.com,Center,0,Mostly Factual,Least Biased,Mostly Factual,Center,0,Mostly Factual,3,Singapore news
kyiv-independent,Kyiv Independent,kyivindependent.com,Center,0,High,Least Biased,High,Center,0,High,4,Ukraine news
the-atlantic,The Atlantic,theatlantic.com,Left,-12,High,Left,High,Left,-2,High,4,Liberal monthly
time,Time,time.com,Lean Left,-8,High,Left-Center,High,Center-Left,-1,High,4,Weekly magazine
newsweek,Newsweek,newsweek.com,Center,-2,Mostly Factual,Right-Center,Mostly Factual,Center,0,Mostly Factual,3,News weekly
new-yorker,The New Yorker,newyorker.com,Left,-15,High,Left,High,Left,-2,High,4,Culture/literary
wired,Wired,wired.com,Left,-10,High,Left-Center,High,Center-Left,-1,High,4,Tech/culture
the-verge,The Verge,theverge.com,Lean Left,-5,High,Left-Center,High,Center-Left,-1,High,4,Consumer tech
techcrunch,TechCrunch,techcrunch.com,Not Rated,-5,High,Left-Center,Mostly Factual,Center-Left,-1,Mostly Factual,3,Startups
